endTime,artistName,trackName,msPlayed,track_id
2020-06-09 21:29,Porches,Goodbye,166795,0Cf8Juik1Rp1J7iFqxTUGK
2020-06-09 21:33,Teebs,Studie,216917,2ss1yofr3slVR2SfokLaLC
2020-06-09 21:37,Låpsley,My Love Was Like the Rain,252853,7ndzawc5kyZ7lcDpipRW77
2020-06-09 21:42,Lucy McWilliams,Fair Play,289108,2bo0Th0LniI0U1KbwNm9mk
2020-06-10 04:32,Röyksopp,Oblique Thrills (Lost Tapes),2136,1g7Jg9dauGakVV0UUcAreX
2020-06-10 04:32,Two Door Cinema Club,Tiptoes,4667,6vxe7lorQ031JgyXAuF95r
2020-06-10 04:32,Lifelike,Discopolis 2.0 - MEDUZA Remix,176193,1zu8sQCLjW5jtzf7JVpGop
2020-06-10 04:34,Teletronix,Metropolitan,118421,5wZslx0PO3OAFz1kNWlcu4
2020-06-10 04:39,The Postal Service,We Will Become Silhouettes - Remastered,300546,0xn9WsyWhNbfI82Ipnpwqa
2020-06-10 04:40,Haley Heynderickx,Slow Talkin',12469,1hEDZvIk6Ev3xJsGJwnlwr
2020-06-10 04:43,LÉON,You And I,224063,4P1EGoXLWQ1YF6Nsmr1pfy
2020-06-10 04:48,STRFKR,Fantasy,313144,0rh0VNi3ILEAdZVIzltaBX
2020-06-10 04:52,Perfume Genius,One More Try,181720,0UsjbN1zd5qEd6OcvO1TGE
2020-06-10 04:53,GIVERS,"Record High, Record Low",95381,4WGNtEK7MwRFEhXIe3AMRJ
2020-06-11 00:47,Vince Guaraldi,Cast Your Fate to the Wind,193500,2lrp2f5FVmHpOjVsDy7N7N
2020-06-11 00:50,Blossom Dearie,Somebody New,176718,2Br3fsJf9k9ciS5jiDxpDQ
2020-06-11 00:51,Horace Silver,The Sophisticated Hippie - Easy Mo Bee Remix,41000,4a4tlk5e9ktzcbdxqbEoxi
2020-06-11 00:51,Mel Tormé,Comin' Home Baby,2500,71tjsDvB4EMJqNG8EMmFnb
2020-06-11 00:53,Vince Guaraldi,The Great Pumpkin Waltz - Reprise,83267,0i2LZOjZjFZdvq24tm96MM
2020-06-11 01:02,Bill Evans,"Symbiosis, 2nd Movement: Largo - Andante - Maestoso - Largo, Pt.1",553245,4xQvvwFiWaJXwwqQxCs6Nh
2020-06-11 01:08,Ahmad Jamal Trio,The Awakening,381893,4QC4XLTPHiSdexDsKO5Vi7
2020-06-11 01:13,Ahmad Jamal,Poinciana,273760,4lyupu0V7V9CoKhH52sfS8
2020-06-11 01:17,Blossom Dearie,Manhattan,259707,6ReTCbOAUbnKKVBY0ckJMS
2020-06-11 01:20,Vince Guaraldi,Forgive Me If I'm Late,162333,0YjuL0DOD8TX7xtPuzgDzJ
2020-06-11 01:26,Wes Montgomery,A Day In The Life,349907,5FBf12F4ry9TXoZAvISu6F
2020-06-11 01:29,Luiz Bonfá,Perdido de Amor [Lost in Love],206067,4xvpttkjjEH0l2hrizYla7
2020-06-11 01:34,Oscar Peterson Trio,I Got It Bad And That Ain't Good,306227,4ol2UyMTiklHVujAWg02nE
2020-06-11 01:40,Vince Guaraldi,The Charlie Brown Suite: Peppermint Patty,352000,2PulYWB8NqiZYyyetPsZca
2020-06-11 01:44,Chet Baker,It's Always You - Vocal Version,215467,06UkYE0SZ3Y8zGRFOuWGAe
2020-06-11 01:46,Thelonious Monk,I'm Confessin' (That I Love You),157027,6kLp24Op7cOu8iQkU46sBv
2020-06-11 22:18,The Dave Brubeck Quartet,Take Five,19500,1YQWosTIljIvxAgHWTp7KP
2020-06-14 23:41,Frank Zappa,It Just Might Be A One-Shot Deal,73578,71jXhfy0OIGACtq2GaIzOa
2020-06-15 04:34,Bruno Major,To Let A Good Thing Die,87125,2IAR0DziHCjSu16gR4ihvy
2020-06-17 02:30,Thrice,Stare At The Sun,17642,0FXSU5PXzvKl3CpA5h3Hqx
2020-06-18 19:00,Mick Gordon,Flesh & Metal,9079,2I4xWxEeI56caBBsVxXd6w
2020-06-18 19:00,Mick Gordon,At Doom's Gate,2321,2UKgx2oba7CltHLACr3xdT
2020-06-18 19:00,Mick Gordon,Bfg Division,1184,4COR2ZPEyUn0lsbAouRWxA
2020-06-18 19:00,Mick Gordon,Rip & Tear,30857,5soMJpcVhSrGrB4prvPL6P
2020-06-18 19:02,Mick Gordon,Bfg Division,1741,4COR2ZPEyUn0lsbAouRWxA
2020-06-18 19:02,Mick Gordon,Rip & Tear,128545,5soMJpcVhSrGrB4prvPL6P
2020-06-18 19:03,Mick Gordon,"Rust, Dust & Guts",5038,19Ww94Uzf6DTXzRkRUQ3XA
2020-06-18 19:03,Mick Gordon,Hellwalker,28560,1xrfci6PJJIBzCbKTmfuX3
2020-06-18 19:04,Mick Gordon,Cyberdemon,28676,6Y75gBp8334c2d4dg5B7vO
